country,sex,age_group,population_000
afg,mf,65_plus,455.093994140625
afg,m,15_plus,5463.9521484375
afg,m,15_24,2072.425048828125
afg,m,15_64,5246.39599609375
afg,m,25_54,2832.239013671875
afg,m,25_34,1349.572021484375
afg,m,35_54,1482.6669921875
afg,m,55_64,341.73199462890625
afg,m,65_plus,217.55599975585938
afg,f,15_plus,5108.35107421875
afg,f,15_24,1886.7249755859375
afg,f,15_64,4870.81298828125
afg,f,25_54,2641.10595703125
afg,f,25_34,1231.0880126953125
afg,f,35_54,1410.0179443359375
afg,f,55_64,342.98199462890625
afg,f,65_plus,237.53799438476562
afg,mf,15_plus,11098.623046875
afg,mf,15_24,4182.890625
afg,mf,15_64,10625.751953125
afg,mf,25_54,5720.60205078125
afg,mf,25_34,2716.695068359375
afg,mf,35_54,3003.906982421875
afg,mf,55_64,722.259033203125
afg,mf,65_plus,472.8710021972656
afg,m,15_plus,5748.0869140625
afg,m,15_24,2188.514892578125
afg,m,15_64,5522.2529296875
afg,m,25_54,2975.222900390625
afg,m,25_34,1427.928955078125
afg,m,35_54,1547.2939453125
afg,m,55_64,358.5150146484375
afg,m,65_plus,225.83399963378906
afg,f,15_plus,5350.5361328125
afg,f,15_24,1994.3759765625
afg,f,15_64,5103.4990234375
afg,f,25_54,2745.37890625
afg,f,25_34,1288.7659912109375
afg,f,35_54,1456.613037109375
afg,f,55_64,363.7439880371094
afg,f,65_plus,247.03700256347656
afg,mf,15_plus,11674.1962890625
afg,mf,15_24,4418.453125
afg,mf,15_64,11181.5537109375
afg,mf,25_54,5999.13671875
afg,mf,25_34,2871.18505859375
afg,mf,35_54,3127.951904296875
afg,mf,55_64,763.9639892578125
afg,mf,65_plus,492.6419982910156
afg,m,15_plus,6057.494140625
afg,m,15_24,2308.89599609375
afg,m,15_64,5822.35986328125
afg,m,25_54,3136.39990234375
afg,m,25_34,1516.5999755859375
afg,m,35_54,1619.800048828125
afg,m,55_64,377.0639953613281
afg,m,65_plus,235.13400268554688
afg,f,15_plus,5616.7021484375
afg,f,15_24,2109.556884765625
afg,f,15_64,5359.19384765625
afg,f,25_54,2862.737060546875
afg,f,25_34,1354.5849609375
afg,f,35_54,1508.1519775390625
afg,f,55_64,386.8999938964844
afg,f,65_plus,257.50799560546875
afg,mf,15_plus,12247.78515625
afg,mf,15_24,4643.0048828125
afg,mf,15_64,11735.3984375
afg,mf,25_54,6287.1162109375
afg,mf,25_34,3033.40087890625
afg,mf,35_54,3253.71484375
afg,mf,55_64,805.2780151367188
afg,mf,65_plus,512.385986328125
afg,m,15_plus,6362.2412109375
afg,m,15_24,2420.823974609375
afg,m,15_64,6117.76123046875
afg,m,25_54,3301.238037109375
afg,m,25_34,1608.3809814453125
